element,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Null,-0.044910576194524,0.004151832312345,0.012932863086462002,-0.010163068771362001,0.0076057799160480005,0.029269028455018,0.033980194479227004,0.018202271312475,0.042308006435632005,-0.019319642335176003,-0.035417031496763,0.020450297743082,-0.016479112207889002,0.027975413948297,0.034488748759031004,0.021560285240411002
H,0.352362900972366,0.635952353477478,0.21733798086643202,-0.191956251859664,0.25375136733055104,-0.42326119542121804,0.221297293901443,-0.45241111516952504,-1.007712602615356,-0.289936184883117,0.12682013213634402,-0.025928407907485,0.7175076007843011,-0.631992936134338,0.021095490083098002,-0.27010449767112704
He,-0.067219823598861,0.14111341536045002,0.164495199918746,0.136700749397277,0.016504688188433002,0.07392898201942401,0.151092901825904,-0.138169795274734,-0.180051505565643,-0.130642101168632,0.18401999771595,-0.024525566026568003,-0.034059606492519004,-0.21720123291015603,0.16527841985225603,-0.042185310274362
Li,-0.161448791623115,0.179495751857757,-0.11418360471725401,0.13650959730148302,0.106477178633213,0.047109439969062,0.06510441750288,-0.06909891963005,-0.210580840706825,-0.030035421252250002,0.12246099114418,-0.388678520917892,0.137058615684509,-0.35707572102546603,0.299677789211273,0.30634957551956105
Be,-0.111666202545166,0.760181605815887,0.057829234749078,0.250146985054016,-0.39693418145179704,0.12885028123855502,0.037942491471767,0.13546299934387201,-0.202221050858497,-0.046164534986019,0.16610455513000402,0.21456304192543002,-0.021428257226943002,-0.594812393188476,0.39565357565879805,0.0006928824586790001
B,0.260108441114425,0.707898497581481,0.06484645605087201,-0.30047801136970503,-0.5102187395095821,0.082543738186359,0.5897918343544001,0.5232884287834161,-0.672266244888305,0.49048405885696406,0.49622642993927,0.38653016090393005,0.181043237447738,-0.620110630989074,-0.177121058106422,-0.171613305807113
C,0.39814794063568104,0.7444849610328671,0.662635564804077,-0.5205782055854791,-0.6738849282264711,-0.476653724908828,0.6987195014953611,0.60738456249237,-0.5621600747108461,0.673558354377746,0.587440013885498,0.6192057728767391,0.615197658538818,-0.749764025211334,-0.552250325679779,-0.652750849723815
N,0.611493647098541,0.00180955149699,0.620457112789154,-0.446008622646331,0.09443088620901101,-0.8179216384887691,-0.130235627293586,-0.6459084749221801,0.021001152694225002,-0.271361649036407,-0.20457960665225902,0.5867201089859,0.663306832313537,-0.5849312543869011,-0.36753433942794805,-0.5598848462104791
O,-0.113971650600433,-0.188672676682472,0.10899779945611901,0.214548140764236,0.37114417552948,-0.10302847623825001,-0.40430709719657904,-0.5028001666069031,0.31322452425956704,-0.465546816587448,-0.369453579187393,-0.10370210558176,-0.042887836694717005,0.087556652724742,0.19286653399467402,0.038901515305042
F,-0.30810475349426203,-0.575614213943481,-0.171835243701934,0.462324202060699,0.7021463513374321,0.22010600566864003,-0.50330638885498,-0.394980043172836,0.28345039486885004,-0.5842900872230531,-0.465051442384719,-0.44712021946907005,-0.24272711575031203,0.44471946358680703,0.501850366592407,0.371508181095123
